Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
16.540,Juvenile Justice and Delinquency Prevention_Allocation to States,2007,Department of Justice,78978240.00,65903620.00,-13074620.00,-0.17
16.548,Title V_Delinquency Prevention Program,2007,Department of Justice,64169820.00,19780956.00,-44388864.00,-0.69
16.556,Grants to State Sexual Assault and Domestic Violence Coalitions,2007,Department of Justice,8804194.00,8719537.00,-84657.00,-0.01
16.575,Crime Victim Assistance,2007,Department of Justice,370600000.00,369976463.00,-623537.00,0.00
16.576,Crime Victim Compensation,2007,Department of Justice,165716000.00,165149000.00,-567000.00,0.00
16.579,Edward Byrne Memorial Formula Grant Program,2007,Department of Justice,0.00,,0.00,0.00
16.586,Violent Offender Incarceration and Truth in Sentencing Incentive Grants,2007,Department of Justice,0.00,,0.00,0.00
16.588,Violence Against Women Formula Grants,2007,Department of Justice,114783946.00,113515134.00,-1268812.00,-0.01
16.593,Residential Substance Abuse Treatment for State Prisoners,2007,Department of Justice,9872280.00,9671330.00,-200950.00,-0.02
16.738,Edward Byrne Memorial Justice Assistance Grant Program,2007,Department of Justice,525171000.00,492173161.00,-32997839.00,-0.06
16.741,Forensic DNA Backlog Reduction Program,2007,Department of Justice,44249591.00,44239199.00,-10392.00,0.00
16.742,Paul Coverdell Forensic Sciences Improvement Grant Program,2007,Department of Justice,18263718.00,16356111.00,-1907607.00,-0.10
16.748,Convicted Offender and/or Arrestee DNA Backlog Reduction Program (In-House Analysis and Data Review),2007,Department of Justice,5486756.00,5486756.00,0.00,0.00
17.207,Employment Service/Wagner-Peyser Funded Activities,2007,Department of Labor,836000000.00,807086586.00,-28913414.00,-0.03
17.225,Unemployment Insurance,2007,Department of Labor,35860000000.00,3002609156.00,-32857390844.00,-0.92
17.235,Senior Community Service Employment Program,2007,Department of Labor,109000000.00,471885782.00,362885782.00,3.33
17.258,WIA Adult Program,2007,Department of Labor,864000000.00,864119393.00,119393.00,0.00
17.259,WIA Youth Activities,2007,Department of Labor,929000000.00,926390215.00,-2609785.00,0.00
17.260,WIA Dislocated  Workers,2007,Department of Labor,1307000000.00,1361619907.00,54619907.00,0.04
17.264,National Farmworker Jobs Program,2007,Department of Labor,80000000.00,78180645.00,-1819355.00,-0.02
17.267,Incentive Grants - WIA Section 503,2007,Department of Labor,16000000.00,16353187.00,353187.00,0.02
17.271,Work Opportunity Tax Credit Program (WOTC) ,2007,Department of Labor,17000000.00,17271853.00,271853.00,0.02
17.273,Temporary Labor Certification for Foreign Workers,2007,Department of Labor,13000000.00,12730165.00,-269835.00,-0.02
17.801,Disabled Veterans' Outreach Program (DVOP),2007,Department of Labor,77403555.00,78285000.00,881445.00,0.01
17.804,Local Veterans' Employment Representative Program,2007,Department of Labor,72374083.00,76316000.00,3941917.00,0.05
20.205,Highway Planning and Construction,2007,Department of Transportation,34154000000.00,45072344099.00,10918344099.00,0.32
20.218,National Motor Carrier Safety,2007,Department of Transportation,197000000.00,,-197000000.00,-1.00
20.505,Federal Transit_Metropolitan Planning Grants,2007,Department of Transportation,135959000.00,207296272.00,71337272.00,0.52
20.513,Capital Assistance Program for Elderly Persons and Persons with Disabilities,2007,Department of Transportation,157781000.00,217787426.00,60006426.00,0.38
20.515,State Planning and Research,2007,Department of Transportation,19991000.00,7509437.00,-12481563.00,-0.62
20.521,New Freedom Program,2007,Department of Transportation,9323016.00,13800651.00,4477635.00,0.48
20.600,State and Community Highway Safety,2007,Department of Transportation,219870000.00,218046920.00,-1823080.00,-0.01
20.700,Pipeline Safety Program Base Grants,2007,Department of Transportation,19518000.00,29826529.00,10308529.00,0.53
45.025,Promotion of the Arts_Partnership Agreements,2007,National Endowment for the Arts,40328000.00,42589700.00,2261700.00,0.06
45.129,Promotion of the Humanities_Federal/State Partnership,2007,National Endowment for the Arts,38818257.00,38505170.00,-313087.00,-0.01
45.310,Grants to States,2007,National Endowment for the Arts,163746000.00,163739831.00,-6169.00,0.00
59.046,Microloan Program,2007,Small Business Administraton,35575000.00,0.00,-35575000.00,-1.00
64.014,Veterans State Domiciliary Care,2007,Department of Veterans Affairs,45034000.00,,-45034000.00,-1.00
64.015,Veterans State Nursing Home Care,2007,Department of Veterans Affairs,451644000.00,,-451644000.00,-1.00
64.016,Veterans State Hospital Care,2007,Department of Veterans Affairs,6565000.00,,-6565000.00,-1.00
66.419,"Water Pollution Control State, Interstate, and Tribal Program Support",2007,Environmental Protection Agency,211210800.00,139255614.00,-71955186.00,-0.34
66.432,State Public Water System Supervision,2007,Environmental Protection Agency,75277707.00,108288988.00,33011281.00,0.44
66.433,State Underground Water Source Protection,2007,Environmental Protection Agency,10838000.00,10803570.00,-34430.00,0.00
66.460,Nonpoint Source Implementation Grants,2007,Environmental Protection Agency,199300000.00,349964328.00,150664328.00,0.76
66.471,State Grants to Reimburse Operators of Small Water Systems for Training and Certification Costs,2007,Environmental Protection Agency,0.00,,0.00,0.00
66.472,Beach Monitoring and Notification Program Implementation Grants,2007,Environmental Protection Agency,10573400.00,19471868.00,8898468.00,0.84
66.474,Water Protection Grants to the States,2007,Environmental Protection Agency,3730200.00,7572464.00,3842264.00,1.03
66.605,Performance Partnership Grants,2007,Environmental Protection Agency,372688500.00,785411373.00,412722873.00,1.11
66.804,State and Tribal Underground Storage Tanks Program,2007,Environmental Protection Agency,30717000.00,41744762.00,11027762.00,0.36
66.817,State and Tribal Response Program Grants,2007,Environmental Protection Agency,49300000.00,91877742.00,42577742.00,0.86
81.041,State Energy Program,2007,Department of Energy,45381613.00,45381613.00,0.00,0.00
81.042,Weatherization Assistance for Low-Income Persons,2007,Department of Energy,204356661.00,204356657.00,-4.00,0.00
84.002,Adult Education - Basic Grants to States,2007,Department of Education,563975000.00,551956006.00,-12018994.00,-0.02
84.010,Title I Grants to Local Educational Agencies,2007,Department of Education,12838123000.00,12701253027.00,-136869973.00,-0.01
84.013,Title I Program for Neglected and Delinquent Children,2007,Department of Education,49797000.00,48552075.00,-1244925.00,-0.02
84.027,Special Education_Grants to States,2007,Department of Education,10782961000.00,10751563924.00,-31397076.00,0.00
84.041,Impact Aid,2007,Department of Education,1223503000.00,1032595187.00,-190907813.00,-0.16
84.048,Career and Technical Education -- Basic Grants to States,2007,Department of Education,1162294000.00,1165340200.00,3046200.00,0.00
84.060,Indian Education_Grants to Local Educational Agencies,2007,Department of Education,95331000.00,91720302.00,-3610698.00,-0.04
84.069,Leveraging Educational Assistance Partnership,2007,Department of Education,64987000.00,64980732.00,-6268.00,0.00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,2007,Department of Education,2802716000.00,2802716000.00,0.00,0.00
84.161,Rehabilitation Services_Client Assistance Program,2007,Department of Education,11782000.00,11728190.00,-53810.00,0.00
84.169,Independent Living_State Grants,2007,Department of Education,22588000.00,22361962.00,-226038.00,-0.01
84.173,Special Education_Preschool Grants,2007,Department of Education,380751000.00,377588684.00,-3162316.00,-0.01
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,2007,Department of Education,32895000.00,32565783.00,-329217.00,-0.01
84.181,Special Education-Grants for Infants and Families,2007,Department of Education,436400000.00,441588011.00,5188011.00,0.01
84.185,Byrd Honors Scholarships,2007,Department of Education,40590000.00,40590000.00,0.00,0.00
84.186,Safe and Drug-Free Schools and Communities_State Grants,2007,Department of Education,346500000.00,338948848.00,-7551152.00,-0.02
84.187,Supported Employment Services for Individuals with Significant Disabilities,2007,Department of Education,29700000.00,29403000.00,-297000.00,-0.01
84.196,Education for Homeless Children and Youth,2007,Department of Education,61871000.00,60635459.00,-1235541.00,-0.02
84.213,Even Start_State Educational Agencies,2007,Department of Education,82282760.00,75700139.00,-6582621.00,-0.08
84.224,Assistive Technology,2007,Department of Education,26111000.00,24877571.00,-1233429.00,-0.05
84.240,Program of Protection and Advocacy of Individual Rights,2007,Department of Education,16489000.00,16192630.00,-296370.00,-0.02
84.243,Tech-Prep Education,2007,Department of Education,104753000.00,104387417.00,-365583.00,0.00
84.287,Twenty-First Century Community Learning Centers,2007,Department of Education,981166230.00,961542906.00,-19623324.00,-0.02
84.318,Education Technology State Grants,2007,Department of Education,272250000.00,263146811.00,-9103189.00,-0.03
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,2007,Department of Education,22770000.00,22770000.00,0.00,0.00
84.332,Comprehensive School Reform Demonstration,2007,Department of Education,2352000.00,815021.00,-1536979.00,-0.65
84.343,Assistive Technology_State Grants for Protection and Advocacy,2007,Department of Education,4341000.00,4341150.00,150.00,0.00
84.357,Reading First State Grants,2007,Department of Education,1029234000.00,1003320732.00,-25913268.00,-0.03
84.358,Rural Education,2007,Department of Education,168918000.00,168313201.00,-604799.00,0.00
84.365,English Language Acquisition Grants,2007,Department of Education,617177000.00,620350056.00,3173056.00,0.01
84.367,Improving Teacher Quality State Grants,2007,Department of Education,2887439000.00,2844271738.00,-43167262.00,-0.01
84.369,Grants for State Assessments and Related Activities,2007,Department of Education,407563000.00,396000000.00,-11563000.00,-0.03
84.377,School Improvement Grants,2007,Department of Education,125000000.00,,-125000000.00,-1.00
84.378,College Access Challenge Grant Program,2007,Department of Education,0.00,,0.00,0.00
84.383,Homeless Education Disaster Assistance Program,2007,Department of Education,0.00,,0.00,0.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",2007,Department of Health and Human Services,5146000.00,2825000.00,-2321000.00,-0.45
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",2007,Department of Health and Human Services,14935942.00,20056552.00,5120610.00,0.34
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",2007,Department of Health and Human Services,21400000.00,,-21400000.00,-1.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",2007,Department of Health and Human Services,350595000.00,,-350595000.00,-1.00
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",2007,Department of Health and Human Services,587224000.00,1111097013.00,523873013.00,0.89
93.052,"National Family Caregiver Support, Title III, Part E",2007,Department of Health and Human Services,160428000.00,6189888.00,-154238112.00,-0.96
93.053,Nutrition Services Incentive Program ,2007,Department of Health and Human Services,147846000.00,145108510.00,-2737490.00,-0.02
93.071,Medicare Enrollment Assistance Program,2007,Department of Health and Human Services,0.00,,0.00,0.00
93.124,Nurse Anesthetist Traineeships,2007,Department of Health and Human Services,1250000.00,1197537.00,-52463.00,-0.04
93.150,Projects for Assistance in Transition from Homelessness (PATH),2007,Department of Health and Human Services,51873000.00,51873000.00,0.00,0.00
93.157,Centers of Excellence,2007,Department of Health and Human Services,11393370.00,11165843.00,-227527.00,-0.02
93.235,Abstinence Education Program,2007,Department of Health and Human Services,38673246.00,35041559.00,-3631687.00,-0.09
93.264,Nurse Faculty Loan Program (NFLP),2007,Department of Health and Human Services,4592465.00,,-4592465.00,-1.00
93.267,State Grants for Protection and Advocacy Services,2007,Department of Health and Human Services,2970000.00,2970049.00,49.00,0.00
93.358,Advanced Education Nursing Traineeships,2007,Department of Health and Human Services,16000000.00,15737129.00,-262871.00,-0.02
93.556,Promoting Safe and Stable Families,2007,Department of Health and Human Services,381104000.00,373410201.00,-7693799.00,-0.02
93.558,Temporary Assistance for Needy Families,2007,Department of Health and Human Services,18304529000.00,16954587088.00,-1349941912.00,-0.07
93.560,Family Support Payments to States_Assistance Payments,2007,Department of Health and Human Services,32808000.00,,-32808000.00,-1.00
93.563,Child Support Enforcement,2007,Department of Health and Human Services,4395600000.00,3188614057.00,-1206985943.00,-0.27
93.566,Refugee and Entrant Assistance_State Administered Programs,2007,Department of Health and Human Services,151763000.00,239566444.00,87803444.00,0.58
93.568,Low-Income Home Energy Assistance,2007,Department of Health and Human Services,2160093000.00,2160873000.00,780000.00,0.00
93.569,Community Services Block Grant,2007,Department of Health and Human Services,630414000.00,624113209.00,-6300791.00,-0.01
93.575,Child Care and Development Block Grant,2007,Department of Health and Human Services,2051200000.00,1000000.00,-2050200000.00,-1.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,2007,Department of Health and Human Services,43731000.00,43731000.00,0.00,0.00
93.586,State Court Improvement Program,2007,Department of Health and Human Services,32940300.00,32940300.00,0.00,0.00
93.590,Community-Based Child Abuse Prevention Grants,2007,Department of Health and Human Services,42429000.00,38896821.00,-3532179.00,-0.08
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,2007,Department of Health and Human Services,12473100.00,,-12473100.00,-1.00
93.594,Tribal Work Grants,2007,Department of Health and Human Services,7551000.00,7551452.00,452.00,0.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,2007,Department of Health and Human Services,2902000000.00,4955537111.00,2053537111.00,0.71
93.599,Chafee Education and Training Vouchers Program (ETV),2007,Department of Health and Human Services,46110000.00,39132678.00,-6977322.00,-0.15
93.603,Adoption Incentive Payments,2007,Department of Health and Human Services,7354000.00,7354000.00,0.00,0.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,2007,Department of Health and Human Services,10890000.00,10890000.00,0.00,0.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,2007,Department of Health and Human Services,4830000.00,5103949.00,273949.00,0.06
93.630,Developmental Disabilities Basic Support and Advocacy Grants,2007,Department of Health and Human Services,110489000.00,109435235.00,-1053765.00,-0.01
93.643,Children's Justice Grants to States,2007,Department of Health and Human Services,17000000.00,16717644.00,-282356.00,-0.02
93.645,Child Welfare Services_State Grants,2007,Department of Health and Human Services,286754000.00,286729447.00,-24553.00,0.00
93.658,Foster Care_Title IV-E,2007,Department of Health and Human Services,4687672000.00,4584642798.00,-103029202.00,-0.02
93.659,Adoption Assistance,2007,Department of Health and Human Services,1942289000.00,1933197634.00,-9091366.00,0.00
93.667,Social Services Block Grant,2007,Department of Health and Human Services,1700000000.00,1700000000.00,0.00,0.00
93.669,Child Abuse and Neglect State Grants,2007,Department of Health and Human Services,27007000.00,27002491.00,-4509.00,0.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,2007,Department of Health and Human Services,99784800.00,114976924.00,15192124.00,0.15
93.674,Chafee Foster Care Independence Program,2007,Department of Health and Human Services,139950011.00,136088032.00,-3861979.00,-0.03
93.767,State Children's Insurance Program,2007,Department of Health and Human Services,5940730000.00,2886098230.00,-3054631770.00,-0.51
93.775,State Medicaid Fraud Control Units,2007,Department of Health and Human Services,174800000.00,,-174800000.00,-1.00
93.778,Medical Assistance Program,2007,Department of Health and Human Services,203499801000.00,186918354175.00,-16581446825.00,-0.08
93.780,Grants to States for Operation of Qualified High-Risk Pools,2007,Department of Health and Human Services,0.00,1450000.00,1450000.00,0.00
93.889,National Bioterrorism Hospital Preparedness Program,2007,Department of Health and Human Services,415032000.00,457620217.00,42588217.00,0.10
93.917,HIV Care Formula Grants,2007,Department of Health and Human Services,1104710500.00,1126775747.00,22065247.00,0.02
93.959,Block Grants for Prevention and Treatment of Substance Abuse,2007,Department of Health and Human Services,1670661450.00,1670661450.00,0.00,0.00
93.964,Public Health Traineeships,2007,Department of Health and Human Services,1289740.00,1227363.00,-62377.00,-0.05
93.991,Preventive Health and Health Services Block Grant,2007,Department of Health and Human Services,93327380.00,92928932.00,-398448.00,0.00
93.994,Maternal and Child Health Services Block Grant to the States,2007,Department of Health and Human Services,561718437.00,558973893.00,-2744544.00,0.00
97.008,Urban Areas Security Initiative ,2007,Department of Homeland Security,24007500.00,4640614.00,-19366886.00,-0.81
97.024,Emergency Food and Shelter National Board Program,2007,Department of Homeland Security,151470000.00,,-151470000.00,-1.00
97.042,Emergency Management Performance Grants,2007,Department of Homeland Security,244000000.00,193737192.00,-50262808.00,-0.21
97.067,Homeland Security Grant Program,2007,Department of Homeland Security,1666460000.00,1701630958.00,35170958.00,0.02
97.073,State Homeland Security Program (SHSP),2007,Department of Homeland Security,509250000.00,,-509250000.00,-1.00
97.074,Law Enforcement Terrorism Prevention Program (LETPP),2007,Department of Homeland Security,363750000.00,,-363750000.00,-1.00
10.001,Agricultural Research_Basic and Applied Research,2007,Department of Agriculture,20295111.00,63978468.00,43683357.00,2.15
10.025,"Plant and Animal Disease, Pest Control, and Animal Care",2007,Department of Agriculture,164399210.00,10723399.00,-153675811.00,-0.93
10.028,Wildlife Services,2007,Department of Agriculture,365000.00,227576862.00,227211862.00,622.50
10.156,Federal-State Marketing Improvement Program,2007,Department of Agriculture,1334000.00,10112542.00,8778542.00,6.58
10.168,Farmers' Market Promotion Program,2007,Department of Agriculture,1000000.00,750039.00,-249961.00,-0.25
10.169,Specialty Crop Block Grant Program,2007,Department of Agriculture,6930000.00,6255300.00,-674700.00,-0.10
10.170,Specialty Crop Block Grant Program - Farm Bill,2007,Department of Agriculture,0.00,,0.00,0.00
10.200,"Grants for Agricultural Research, Special Research Grants",2007,Department of Agriculture,13682210.00,27136786.00,13454576.00,0.98
10.206,Grants for Agricultural Research_Competitive Research Grants,2007,Department of Agriculture,175142784.00,170356055.00,-4786729.00,-0.03
10.210,Food and Agricultural Sciences National Needs Graduate Fellowship Grants,2007,Department of Agriculture,3506539.00,5794500.00,2287961.00,0.65
10.212,Small Business Innovation Research,2007,Department of Agriculture,15599447.00,19502003.00,3902556.00,0.25
10.215,Sustainable Agriculture Research and Education,2007,Department of Agriculture,11490336.00,11286682.00,-203654.00,-0.02
10.216,1890 Institution Capacity Building Grants,2007,Department of Agriculture,11616121.00,11473393.00,-142728.00,-0.01
10.217,Higher Education Challenge Grants,2007,Department of Agriculture,5174151.00,5195697.00,21546.00,0.00
10.219,Biotechnology Risk Assessment Research,2007,Department of Agriculture,1685400.00,2877843.00,1192443.00,0.71
10.220,Higher Education Multicultural Scholars Program,2007,Department of Agriculture,932499.00,1041000.00,108501.00,0.12
10.223,Hispanic Serving Institutions Education Grants,2007,Department of Agriculture,5686986.00,5664685.00,-22301.00,0.00
10.224,"Fund for Rural America_Research, Education, and Extension Activities",2007,Department of Agriculture,0.00,,0.00,0.00
10.225,Community Food Projects,2007,Department of Agriculture,4800000.00,4725000.00,-75000.00,-0.02
10.226,Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants,2007,Department of Agriculture,931082.00,1169846.00,238764.00,0.26
10.227,1994 Institutions Research Program,2007,Department of Agriculture,1445184.00,1441486.00,-3698.00,0.00
10.228,Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,2007,Department of Agriculture,3088800.00,3076691.00,-12109.00,0.00
10.290,Agricultural Market and Economic Research,2007,Department of Agriculture,2873761.00,265002.00,-2608759.00,-0.91
10.303,Integrated Programs,2007,Department of Agriculture,41334662.00,43126924.00,1792262.00,0.04
10.304,Homeland Security_Agricultural,2007,Department of Agriculture,9504000.00,9479000.00,-25000.00,0.00
10.305,International Science and Education Grants,2007,Department of Agriculture,950400.00,,-950400.00,-1.00
10.306,BIODIESEL,2007,Department of Agriculture,960000.00,960000.00,0.00,0.00
10.307,Organic Agriculture Research and Extension Initiative,2007,Department of Agriculture,2836820.00,2806426.00,-30394.00,-0.01
14.904,Lead Outreach Grants,2007,Department of Housing and Urban Development,1187519.00,,-1187519.00,-1.00
10.308,Resident Instruction Grants for Insular Area Activities,2007,Department of Agriculture,468748.00,466932.00,-1816.00,0.00
14.903,Operation Lead Elimination Action Program,2007,Department of Housing and Urban Development,17500000.00,,-17500000.00,-1.00
10.309,Specialty Crop Research Initiative,2007,Department of Agriculture,0.00,,0.00,0.00
10.352,Value-Added Producer Grants,2007,Department of Agriculture,21637622.00,,-21637622.00,-1.00
10.405,Farm Labor Housing Loans and Grants,2007,Department of Agriculture,55440000.00,16648317.00,-38791683.00,-0.70
10.415,Rural Rental Housing Loans,2007,Department of Agriculture,36382000.00,0.00,-36382000.00,-1.00
10.417,Very Low-Income Housing Repair Loans and Grants,2007,Department of Agriculture,29700000.00,,-29700000.00,-1.00
10.420,Rural Self-Help Housing Technical Assistance,2007,Department of Agriculture,30550000.00,30734408.00,184408.00,0.01
10.433,Rural Housing Preservation Grants,2007,Department of Agriculture,9900000.00,10138730.00,238730.00,0.02
10.435,State Mediation Grants,2007,Department of Agriculture,4207500.00,,-4207500.00,-1.00
10.441,Technical and Supervisory Assistance Grants,2007,Department of Agriculture,1000000.00,,-1000000.00,-1.00
10.442,Housing Application Packaging Grants,2007,Department of Agriculture,30000.00,1043179.00,1013179.00,33.77
10.443,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,2007,Department of Agriculture,5666890.00,5646897.00,-19993.00,0.00
10.446,Rural Community Development Initiative,2007,Department of Agriculture,6200000.00,,-6200000.00,-1.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),2007,Department of Agriculture,0.00,405715.00,405715.00,0.00
10.456,Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers),2007,Department of Agriculture,4000000.00,,-4000000.00,-1.00
10.457,Commodity Partnerships for Risk Management Education,2007,Department of Agriculture,4623766.00,,-4623766.00,-1.00
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,2007,Department of Agriculture,415655.00,,-415655.00,-1.00
10.475,Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,2007,Department of Agriculture,46500000.00,,-46500000.00,-1.00
10.479,Food Safety Cooperative Agreements,2007,Department of Agriculture,1000000.00,,-1000000.00,-1.00
14.244,Empowerment Zones Program,2007,Department of Housing and Urban Development,0.00,,0.00,0.00
10.567,Food Distribution Program on Indian Reservations,2007,Department of Agriculture,77533898.00,24084633.00,-53449265.00,-0.69
10.574,Team Nutrition Grants,2007,Department of Agriculture,9381761.00,4948016.00,-4433745.00,-0.47
10.576,Senior Farmers Market Nutrition Program,2007,Department of Agriculture,16203484.00,1265369.00,-14938115.00,-0.92
10.578,WIC Grants To States (WGS) ,2007,Department of Agriculture,19198828.00,5198828.00,-14000000.00,-0.73
10.579,Child Nutrition Discretionary Grants Limited Availability,2007,Department of Agriculture,2997672.00,5425448.00,2427776.00,0.81
10.580,Special Nutrition Assistance Program Outreach/Participation Program,2007,Department of Agriculture,989197.00,4347139.00,3357942.00,3.39
10.582,Fresh Fruit and Vegetable Program ,2007,Department of Agriculture,9036050.00,,-9036050.00,-1.00
10.652,Forestry Research,2007,Department of Agriculture,14000000.00,4052949.00,-9947051.00,-0.71
10.670,National Forest_Dependent Rural Communities,2007,Department of Agriculture,0.00,2000000.00,2000000.00,0.00
10.672,"Rural Development, Forestry, and Communities",2007,Department of Agriculture,0.00,12577800.00,12577800.00,0.00
10.676,Forest Legacy Program,2007,Department of Agriculture,57107000.00,7141000.00,-49966000.00,-0.87
10.678,Forest Stewardship Program,2007,Department of Agriculture,40069200.00,863042.00,-39206158.00,-0.98
10.679,Collaborative Forest Restoration,2007,Department of Agriculture,4100700.00,6031535.00,1930835.00,0.47
10.681,Wood  Education and Resource  Center (WERC),2007,Department of Agriculture,1700000.00,,-1700000.00,-1.00
